ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.02.CB.32,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.04,0.95,4,linear,15629.68,48.6,48.6,20000,0.93,True
BasicPPO.02.CB.33,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.04,0.95,5,linear,15943.84,49.2,49.04,18000,0.93,True
BasicPPO.02.CB.34,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.04,0.95,6,linear,16558.16,50.4,49.69,18000,0.93,True
BasicPPO.02.CB.35,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.04,0.95,7,linear,16346.88,50.6,50.76,16000,0.93,True
BasicPPO.02.CB.36,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.06,0.95,3,linear,16178.26,50.5,50.55,20000,0.93,True
BasicPPO.02.CB.37,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.06,0.95,4,linear,16146.17,49.5,49.98,18000,0.93,True
BasicPPO.02.CB.38,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.06,0.95,5,linear,15878.42,49.7,49.5,16000,0.93,True
BasicPPO.02.CB.39,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.06,0.95,6,linear,15917.87,49.6,49.69,16000,0.93,True
BasicPPO.02.CB.4,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.04,0.95,6,linear,16036.5,49.7,49.78,18000,0.93,True
BasicPPO.02.CB.40,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.06,0.95,7,linear,15947.74,49.9,49.79,16000,0.93,True
